,순위,항목,집계구번호,값,비율(%),도로명 주소,폴리곤_위치정보
28,29,화양동_29,11050530020008,284,2.1,서울특별시 광진구 군자로5길 24-3,"POLYGON ((127.06978983900444 37.544141961143765, 127.0697565975171 37.54412109539816, 127.06970208608008 37.54416594280676, 127.069622982244 37.54425617742744, 127.06949106345161 37.54440383575818, 127.06944421884987 37.54445654375159, 127.06930036332791 37.5446183816836, 127.06918811381051 37.54474449514359, 127.06905042473758 37.544894679140626, 127.06894792693637 37.54500620802501, 127.06894529206386 37.54500907461924, 127.06892030956602 37.5450363890668, 127.06889476121886 37.545064063780536, 127.06889233029953 37.545066704872134, 127.06882218526103 37.54514285196836, 127.06875693530871 37.54521422079289, 127.0687552618229 37.545216050746646, 127.06869930407663 37.54527707978475, 127.06862808484894 37.54535451536327, 127.06862530413468 37.545357544568894, 127.06865903276184 37.54537995101911, 127.06866558927813 37.54538430778669, 127.06896325881904 37.545620838109514, 127.06898070846628 37.545634703292926, 127.06919133007777 37.54579883314929, 127.06919161292822 37.545799058639275, 127.06936402237218 37.54593802719613, 127.06949470153381 37.546043638430085, 127.06975974838207 37.54595167494749, 127.06981122977164 37.54593358035979, 127.06999232589824 37.545869910444296, 127.07000550498888 37.54586558686928, 127.06998648114386 37.54585139788158, 127.06991752135175 37.54579992824704, 127.06953020137706 37.545535278527076, 127.06960950308738 37.545473496833765, 127.06966684689137 37.545456003249306, 127.06974020453401 37.54537898854196, 127.06976795721732 37.5453498434455, 127.06991209365829 37.54518488822838, 127.06993047409158 37.545163848173445, 127.06992887747455 37.54516293919657, 127.06978486748189 37.54508193277009, 127.06977130481454 37.54507423720247, 127.06976848620538 37.54507264413903, 127.06961218126449 37.54498403216703, 127.06961156969359 37.54498368111334, 127.06955821151884 37.54495304160575, 127.0695043209003 37.54492306986235, 127.0695016263873 37.544921548454006, 127.06952240587381 37.54489986824652, 127.06969711123163 37.54471753304333, 127.06974125633057 37.54467146619916, 127.06988075646912 37.544524145250755, 127.07006237791137 37.54433232719095, 127.0700839238908 37.54430958249936, 127.07005194070277 37.544291148715324, 127.07005093310309 37.54429057269218, 127.06981981955452 37.54416079329572, 127.06978983900444 37.544141961143765))"
29,30,화양동_30,11050530020007,281,2.0,서울특별시 광진구 군자로 29,"POLYGON ((127.07058000765274 37.54576725147808, 127.07063397498199 37.545696789757145, 127.0706881845108 37.54570330806508, 127.07070622349343 37.54570546838431, 127.0708087314409 37.54571568918251, 127.07096983674437 37.545742894311495, 127.07099997475365 37.54574784138284, 127.07106442109917 37.545762696361834, 127.07112470088126 37.54577589657668, 127.07118291543657 37.545794900310526, 127.07127438382024 37.545822145958056, 127.07136891820598 37.54584853467739, 127.07138976639364 37.54585435105438, 127.07146148271785 37.545874167118946, 127.0715664725787 37.54590057557324, 127.07160844978155 37.545908641737554, 127.07161901181031 37.545889029661325, 127.07165980218852 37.545813286402925, 127.07169010926152 37.54575585757576, 127.07172676147562 37.54570848830914, 127.07173614377362 37.54568652568904, 127.07174569594835 37.545664148189246, 127.07174796105828 37.545568777029864, 127.07174826490997 37.54555564001149, 127.07173175355048 37.54555418121884, 127.0716788635788 37.54554140109278, 127.07155812731169 37.5455085233872, 127.07144199902673 37.54547655279079, 127.07138336826928 37.54547292927414, 127.07129715235902 37.54547207006938, 127.07126726786544 37.54547208775647, 127.07125001775235 37.545466602576525, 127.07124081290937 37.5454611204754, 127.07114075377343 37.54540625499558, 127.071048742814 37.545355061022285, 127.07099270426978 37.54532738869566, 127.07095585246661 37.54530662463676, 127.07092887285353 37.54529142261882, 127.07088266555205 37.5453459866807, 127.07082146604102 37.54541469616332, 127.07074797767484 37.54554608606784, 127.07070315554247 37.54560619932257, 127.07067856485554 37.54559212182812, 127.0706451089673 37.54557295999993, 127.07051477097738 37.545496325269916, 127.07034996029039 37.54540084476076, 127.07034947405981 37.54540055636743, 127.07022221873478 37.54532873131847, 127.07002547233733 37.545217446979706, 127.0700228353825 37.545215952852985, 127.06997789957813 37.54519075141523, 127.06993047409158 37.545163848173445, 127.06991209365829 37.54518488822838, 127.06976795721732 37.5453498434455, 127.06974020453401 37.54537898854196, 127.06966684689137 37.545456003249306, 127.06960950308738 37.545473496833765, 127.06953020137706 37.545535278527076, 127.06991752135175 37.54579992824704, 127.06998648114386 37.54585139788158, 127.07000550498888 37.54586558686928, 127.06999232589824 37.545869910444296, 127.06981122977164 37.54593358035979, 127.06975974838207 37.54595167494749, 127.06949470153381 37.546043638430085, 127.06988866762583 37.54635956879536, 127.07011791405726 37.54654265265471, 127.07012805781784 37.54654786336148, 127.0701399228813 37.546553956435076, 127.07018413251292 37.54657664489991, 127.07018668594388 37.546560948116465, 127.07024950650822 37.54640732843743, 127.07030022410227 37.54628330475853, 127.07042010025168 37.54603337120521, 127.07045680550898 37.54595640570277, 127.07050030496723 37.545883418223006, 127.07051483411347 37.54585903718896, 127.07054139793577 37.54582163119109, 127.07058000765274 37.54576725147808))"
30,31,화양동_31,11050530010004,279,2.0,서울특별시 광진구 광나루로20길 43,"POLYGON ((127.07341365329381 37.54581947507108, 127.07359629545267 37.54577614420596, 127.07359991212803 37.54578432354438, 127.07384554120831 37.54573646687586, 127.07386952234009 37.54573285608676, 127.07378599789755 37.54549640548414, 127.074094161325 37.54544417532018, 127.0740951742092 37.54545119332303, 127.07410043714336 37.54548777930562, 127.07413361165742 37.5454839212549, 127.07417734128246 37.54547884751897, 127.07431158419625 37.545435996283466, 127.07436309939627 37.545418665110155, 127.07448501975011 37.54537764765019, 127.07465833396827 37.545310524584345, 127.07468927205112 37.5452999910425, 127.07477123861472 37.54527208288588, 127.07481046761004 37.545257966555475, 127.07482535359125 37.54525260482961, 127.07488126755622 37.545232487839364, 127.07514805498666 37.54512577955715, 127.0751717810472 37.54511201563496, 127.0752050859066 37.54508075663613, 127.07522372889815 37.54506324730532, 127.07519191910033 37.54505048238075, 127.07513779177198 37.5450233065249, 127.07512754560648 37.54501697011503, 127.07503963677779 37.54496264017351, 127.07500249337079 37.54493365145452, 127.0748800676656 37.54483957455759, 127.07483275398118 37.54481383554829, 127.07477377381787 37.544787292801686, 127.07472644786617 37.544772095019184, 127.07469001990982 37.544768243926555, 127.07462201011458 37.54477729552976, 127.07456227514 37.544788775356494, 127.07436167953378 37.54482061387672, 127.07415521631815 37.54485786241675, 127.07413009166468 37.54486454457461, 127.07410804353428 37.54487167587428, 127.07406403407649 37.54489116481784, 127.07400962983417 37.54491633535379, 127.07398826032947 37.54492256595165, 127.07398002301886 37.54492249837635, 127.07393913987048 37.544922145356864, 127.07388074739404 37.54491947936596, 127.0737686142992 37.54491188907836, 127.07367763013583 37.544905005952494, 127.07349837764995 37.54489142063495, 127.07343590736943 37.54488443122077, 127.07338337069599 37.54488636500722, 127.07337497387711 37.54488667538019, 127.07318083888508 37.54488201867253, 127.07299171730328 37.54492663244208, 127.0731064866743 37.54516810082774, 127.07332420377539 37.545620204296156, 127.07341365329381 37.54581947507108))"
31,32,화양동_32,11050530020001,274,2.0,서울특별시 광진구 능동로19길 7-10,"POLYGON ((127.07299697756747 37.546845210469094, 127.07323934560698 37.54680054494308, 127.07324395637443 37.5468178324281, 127.07328854037594 37.546971045969755, 127.07329109556144 37.54697955857971, 127.07330064177978 37.54701140274607, 127.07336656943657 37.54699861459773, 127.07372979532776 37.54692374584696, 127.07390960364205 37.54688668583965, 127.0738913404553 37.546841116021525, 127.07384982473039 37.5467375368454, 127.07352657791793 37.54607106395831, 127.07345893368343 37.54592036035002, 127.07328820327376 37.545969683870354, 127.07328051358152 37.545973814916685, 127.07326484910303 37.54598363624986, 127.073245829922 37.54599731584535, 127.07323164893647 37.54600683968219, 127.07316048340705 37.5460664286852, 127.07301371458983 37.546193097891724, 127.0729917466597 37.54621327548147, 127.07298201217567 37.54622222045728, 127.07294162901798 37.54625931110015, 127.07289090021192 37.546296984455836, 127.07274915534377 37.54638780937565, 127.07272095716674 37.54640231468506, 127.07266310205449 37.54642827159726, 127.07248658120855 37.546496337348515, 127.07246717963233 37.546501999722345, 127.07249165799553 37.54665043120894, 127.07205379179052 37.54670115784927, 127.07198807887517 37.54669718083824, 127.07199124835651 37.54672177584389, 127.07199802518612 37.546745071526324, 127.07201006567654 37.54678149015842, 127.07202294883078 37.546815469211964, 127.07203112123442 37.54683702493374, 127.07208827622735 37.54698988882825, 127.07213865987153 37.54712842184635, 127.07215746388722 37.54718574932825, 127.07216698627323 37.54722583906276, 127.07239056237061 37.54718541202459, 127.07243948367508 37.54717656213471, 127.07244895375837 37.5471750947777, 127.07254563509655 37.54716011819263, 127.07255262664695 37.54715873469132, 127.07255002254249 37.54711974174283, 127.07254840376626 37.54709555080742, 127.07257115756974 37.54706984997063, 127.07260719539553 37.547053970556775, 127.07267358777005 37.547020684151306, 127.07268494500825 37.54699045780432, 127.07267633854855 37.54692472702689, 127.07277689113556 37.54688991468302, 127.07292012834472 37.54685356389276, 127.07299697756747 37.546845210469094))"
32,33,화양동_33,11050530020027,258,1.9,서울특별시 광진구 능동로11길 8-5,"POLYGON ((127.07105293291887 37.54279979176153, 127.07124266114428 37.54261015637492, 127.07126346525148 37.54265276948537, 127.07137648366617 37.542884312097385, 127.07146140688013 37.543056513838984, 127.0715934273236 37.54333845494317, 127.07199790446425 37.543227076733615, 127.07215448704949 37.54316019229834, 127.0721235842419 37.54309452936372, 127.07202531184319 37.54288496368214, 127.07172370285829 37.54224178909385, 127.0715542376618 37.54188040215629, 127.07149905465532 37.54176200831409, 127.07138450263487 37.5415162116202, 127.07121285265322 37.54114789742563, 127.07116467978403 37.541044530092734, 127.07095826087979 37.54060543656716, 127.07090703783255 37.54049598745458, 127.07073835817542 37.54055020826319, 127.07048557754588 37.54063145559883, 127.07048505590058 37.54063161774714, 127.0701230837788 37.54074958755961, 127.0700590656239 37.5407766547065, 127.07007687222627 37.54082223428859, 127.07016983851476 37.541020037711725, 127.07017027914934 37.54102097493645, 127.07033585089047 37.54097403468037, 127.07047021534285 37.541267093922976, 127.07030591732527 37.54130954663664, 127.07030633667505 37.54131043870605, 127.07040293183886 37.54151598876771, 127.07040313419496 37.541516431165284, 127.07057255359318 37.541466486842616, 127.07071071996984 37.54175853569917, 127.07054231153916 37.54181231642718, 127.07054797001678 37.54182419612137, 127.07063716074893 37.542011847871656, 127.07063736316967 37.542012279472495, 127.07075654022441 37.542262163255366, 127.0707569025757 37.54226292892689, 127.07069883964252 37.54228253319649, 127.07046093161263 37.542363031439, 127.07046037697766 37.54236322138684, 127.07023658558302 37.542438953682236, 127.07023465062935 37.54243961275953, 127.06997449220522 37.54252765535214, 127.07018407257718 37.542920924499036, 127.0702156623226 37.542980200739855, 127.07040384425547 37.54333332553574, 127.07043471826196 37.543363121204194, 127.07046721104743 37.5433944929283, 127.0704734516077 37.54338820886371, 127.07071504177362 37.54315038558606, 127.07082470716459 37.54303659804454, 127.07082697899078 37.5430342366313, 127.07102085075898 37.54283307485238, 127.07102643521745 37.54282727872317, 127.07105293291887 37.54279979176153))"
33,34,화양동_34,11050530020017,248,1.8,서울특별시 광진구 능동로19길 47,"POLYGON ((127.07121622193326 37.547319877986496, 127.0717235193829 37.54694853731051, 127.07198807887517 37.54669718083824, 127.07205379179052 37.54670115784927, 127.07249165799553 37.54665043120894, 127.07246717963233 37.546501999722345, 127.0724667849933 37.546502117261745, 127.07244347881408 37.54650681725528, 127.07219205548152 37.546524445644145, 127.07217859210752 37.54652661778927, 127.07206466805518 37.546555877510144, 127.07201726986123 37.546572032844914, 127.07201489399739 37.54657297065007, 127.07198310889615 37.54658556812586, 127.0719816157774 37.546586154907295, 127.07192383549805 37.54660884883323, 127.07188718185772 37.546619592567744, 127.07172811324489 37.54665410538984, 127.0717131787926 37.54665834889863, 127.07140467728908 37.54674691773486, 127.0713829562361 37.54675233804428, 127.07135761089418 37.54675568652673, 127.07132287390564 37.54675868000382, 127.07059180137094 37.546812178829505, 127.07058507995131 37.54681245273519, 127.07056859176036 37.546936960637105, 127.07055549303485 37.54703065371472, 127.07052923060525 37.547142922632986, 127.07028837148113 37.54714039867363, 127.07035568925365 37.547483735504784, 127.07035595092698 37.547485086677554, 127.07039705731084 37.54748011654963, 127.07043385436725 37.54747566165181, 127.07068439852553 37.54744852183079, 127.07083181910485 37.54743082970495, 127.07099640428578 37.54741108332722, 127.07105847690858 37.54740363111788, 127.07118584278993 37.547386952707825, 127.07121622193326 37.547319877986496))"
34,35,화양동_35,11050530020032,248,1.8,서울특별시 광진구 능동로13길 102,"POLYGON ((127.0686830406698 37.546283568512635, 127.06882215397307 37.54624125058565, 127.06882710919875 37.54623982472856, 127.0688550750667 37.54623177139791, 127.06896420970408 37.54619984099833, 127.0689740296938 37.5461969708902, 127.06911506671094 37.54615570611235, 127.06911648078272 37.546155290344856, 127.069373824237 37.54607919859454, 127.06937442410631 37.54607901779114, 127.06943429107527 37.546061242396014, 127.06949470153381 37.546043638430085, 127.06936402237218 37.54593802719613, 127.06919161292822 37.545799058639275, 127.06919133007777 37.54579883314929, 127.06898070846628 37.545634703292926, 127.06896325881904 37.545620838109514, 127.06866558927813 37.54538430778669, 127.06865903276184 37.54537995101911, 127.06862530413468 37.545357544568894, 127.06860479687778 37.54537984665226, 127.06858535287874 37.545401120549705, 127.06858438107373 37.54540219321498, 127.06848315990442 37.54551353252505, 127.06842007840211 37.54558114232653, 127.06841877276612 37.54558258515066, 127.06838122226434 37.545558828814066, 127.06819199578524 37.54543910432525, 127.06808966782538 37.545388796900056, 127.06774123431813 37.54550317542208, 127.0677132405482 37.54551236319404, 127.06773401572215 37.54555486955314, 127.06774006843438 37.54556726368726, 127.06780611485121 37.54568973432634, 127.06784941482326 37.54577251983181, 127.06793414278587 37.545934543433745, 127.06795507384179 37.545969895344406, 127.06798772074544 37.54599516794625, 127.06802094355945 37.546020898748154, 127.06799457019419 37.546049989884516, 127.0679475398187 37.546100381895634, 127.06789169462586 37.54616150021092, 127.06785348630754 37.546205578955, 127.06780949977633 37.54625460837844, 127.06778997153994 37.54621960768659, 127.06773012850529 37.54611238721209, 127.06725185507773 37.5462673373882, 127.06722115102909 37.546277282144295, 127.06727424841742 37.546371245376406, 127.06735097565335 37.5465042786854, 127.06740258844927 37.54659740267702, 127.0674086297751 37.546608446563596, 127.06743821147037 37.54666247027211, 127.06744278340736 37.546661171046054, 127.0674441849658 37.5466607642614, 127.06766519647175 37.54659626434264, 127.06768431425994 37.54659021686111, 127.06789167679511 37.54652504911262, 127.06801294995543 37.54648704925451, 127.06813920058924 37.54644787497389, 127.06813949432748 37.546447784999664, 127.06853198130322 37.54632953277181, 127.0686793301568 37.54628469698543, 127.0686830406698 37.546283568512635))"
35,36,화양동_36,11050530010007,238,1.7,서울특별시 광진구 광나루로24길 78,"POLYGON ((127.07962971754242 37.545334082534, 127.07993332828731 37.54530073308887, 127.08023517488898 37.54532030947889, 127.08048552644479 37.54534623699256, 127.08050151419285 37.54534722036958, 127.0810006969648 37.54537794421209, 127.08156166554079 37.545382846594826, 127.08155116054495 37.545304638587794, 127.08155069732993 37.54530204825068, 127.0815485214209 37.54528992454495, 127.08154741473994 37.54528376346253, 127.08153597758668 37.54522003059411, 127.08153687861711 37.545215586503865, 127.0815442177634 37.54517928887107, 127.08154704216167 37.545165321580896, 127.0815492356512 37.54515444461228, 127.081537372817 37.54502388658661, 127.08153735148427 37.54502365486662, 127.08153707077622 37.54502365026153, 127.08106597438186 37.54508457882947, 127.08084420310222 37.545089683083496, 127.08083955398097 37.544991813829924, 127.08017361692924 37.545027540151516, 127.0801723640724 37.54504182124773, 127.08016168071332 37.54504089182645, 127.0801605354811 37.54509149154739, 127.08015433796115 37.545116669545834, 127.08013010563532 37.54521945305137, 127.07998521864509 37.54522981168869, 127.08002960462333 37.54510542685824, 127.08005566703132 37.545032402653035, 127.08006410649052 37.54500874600583, 127.08006827094815 37.54499849890443, 127.08007298855671 37.544943112169626, 127.08005598399275 37.54493553712752, 127.08002795397962 37.54492304021776, 127.08002659834301 37.54488258716449, 127.07998584756734 37.54489920018217, 127.07979899908784 37.54497094294171, 127.07963736910423 37.54496209595901, 127.07958820188546 37.54498450791159, 127.07940127971976 37.544974559220265, 127.07934926646631 37.54496676292607, 127.0793154225918 37.54496814582756, 127.07929164537337 37.544965775273035, 127.07908902002792 37.54494815819478, 127.07904478154894 37.54494236793001, 127.07900210412808 37.54493678061237, 127.0781961411009 37.54487293051614, 127.0781194460028 37.54486685451725, 127.07802387775722 37.54486020355312, 127.07795921794019 37.5448580030264, 127.07783694430452 37.54484913376888, 127.07766829563047 37.544849243650546, 127.0775221418272 37.544858285087656, 127.07748842206446 37.54486055033812, 127.07737098984194 37.54486857488274, 127.07734500551884 37.5448916259258, 127.07731151192095 37.54489273006867, 127.07728063540395 37.54489626371643, 127.07725053166271 37.54490367140656, 127.07715291659359 37.54493112234297, 127.07706241514121 37.54495334467965, 127.07704374044424 37.54496191726194, 127.07703367751016 37.544969402111576, 127.07701865288423 37.544983106564814, 127.07698846715212 37.54502024503663, 127.07696630775163 37.54504089409081, 127.07692436684083 37.545080472777485, 127.07691110544741 37.54509264581725, 127.07693081274361 37.54509966947136, 127.07702710088715 37.545134026081364, 127.07703393651859 37.54513674200105, 127.07720260976211 37.54520375778274, 127.07724816080645 37.54521045027201, 127.07726221233273 37.54537468391725, 127.07727927199461 37.54537127565491, 127.07729064263607 37.54536956505061, 127.0774122258118 37.54536552231478, 127.07763619056891 37.54535745790722, 127.07774710515721 37.54535568413493, 127.07786797795211 37.545353343727804, 127.07798387119985 37.54535156679781, 127.07798812512708 37.54535140984083, 127.07806350735085 37.545348686726165, 127.07815450934476 37.545349762707104, 127.07816538490427 37.545351133763866, 127.07818353766511 37.54535341953658, 127.07818367082005 37.54535087911059, 127.07823902956183 37.54535281643784, 127.07825069499138 37.545352033371366, 127.07825942365889 37.54534506284977, 127.0782642677331 37.545335392382995, 127.07826863590395 37.5453237940644, 127.0782710328438 37.54529980768073, 127.07827586497817 37.545266936356825, 127.07827826916271 37.54525030237752, 127.07827923702554 37.54524527447195, 127.0782826374509 37.54523947917499, 127.0782889448893 37.54523328509149, 127.0782942699638 37.54522825380134, 127.07830349689975 37.545222058418524, 127.07832243205905 37.54521546862744, 127.07833747661932 37.54521004392991, 127.07838797708848 37.545198028042115, 127.07842343254427 37.545189499824225, 127.07852637653114 37.54517280020755, 127.07857056671118 37.545164266159595, 127.07861280222517 37.54514721816344, 127.07870068838179 37.5451227986288, 127.07881090724618 37.54509411057, 127.0788300549916 37.545084322548824, 127.07883747411604 37.54508052459229, 127.0788883010668 37.545066787158156, 127.07889109579777 37.545066226558376, 127.0789861838905 37.5450472072831, 127.07900080079334 37.54504414339092, 127.0790216205933 37.54503977755588, 127.07903632473126 37.54503669688149, 127.0790375523077 37.545042255393255, 127.07904986795043 37.545068555742326, 127.07908016608145 37.54511755944996, 127.07909315465253 37.54513733547451, 127.07909953562458 37.54515126791896, 127.07910181920421 37.54515625151295, 127.07910291832796 37.54517861349621, 127.07910945955045 37.54523451533348, 127.07911056691512 37.54526548167718, 127.07910734115947 37.54527666588798, 127.07910195026808 37.54528354291458, 127.07909654996382 37.545291295149646, 127.079098725593 37.545304196765656, 127.07910666278252 37.54534134729576, 127.07911089265072 37.5453611687049, 127.07912767699626 37.54543973733152, 127.07927771976208 37.54540842899136, 127.07942424583759 37.54537801474125, 127.0795457143409 37.54535103894595, 127.07962971754242 37.545334082534))"
36,37,화양동_37,11050530020016,228,1.7,서울특별시 광진구 군자로 9,"POLYGON ((127.07151838305062 37.54389479815371, 127.0714246608691 37.54369254494971, 127.07136966966408 37.54357387055056, 127.07134026926404 37.54351042392747, 127.0713000752614 37.54342367323807, 127.07129988292567 37.54342325883263, 127.07109002126856 37.54363660243576, 127.07091054547878 37.543818032798825, 127.07090587669671 37.54382264789524, 127.07066873921382 37.54367696186481, 127.07033719507221 37.544008422965476, 127.07007320651526 37.544270071381, 127.07005194070277 37.544291148715324, 127.0700839238908 37.54430958249936, 127.07034283664876 37.544458789343615, 127.07034918832956 37.54446254317666, 127.07059807485294 37.54460975526238, 127.07083069279925 37.5447473353212, 127.0711241326001 37.544920891657696, 127.07115852757876 37.54494030552988, 127.07118644573727 37.54495606610114, 127.07135080126142 37.54474414539206, 127.07135830531956 37.54473447317522, 127.0714340745334 37.544636788227145, 127.0716403119435 37.544370863972915, 127.07167488056821 37.54432191969225, 127.07170168524986 37.5442839635675, 127.071711956583 37.5442678296608, 127.07169351144671 37.54424272945555, 127.07165786681914 37.54419424164383, 127.07153568591302 37.54393214361144, 127.07151838305062 37.54389479815371))"
37,38,화양동_38,11050530020025,220,1.6,서울특별시 광진구 아차산로29길 52-12,"POLYGON ((127.07018407257718 37.542920924499036, 127.06997449220522 37.54252765535214, 127.06997331490845 37.5425280521531, 127.06973474834574 37.54260783804653, 127.06971473848999 37.542614688437844, 127.06970089201192 37.54261942686974, 127.06958013886421 37.54266075281391, 127.06940864065498 37.54271945105896, 127.06940715936854 37.54271995763385, 127.06929001465318 37.54276129011123, 127.06928906523763 37.54276162374808, 127.06918103746322 37.54279979768418, 127.06911859644943 37.5428205560749, 127.06905649390222 37.54284131477366, 127.0691827967577 37.54308087947211, 127.06918302296403 37.543081303941506, 127.06921764172431 37.54314697394056, 127.06942000326326 37.5435308151641, 127.06942071542828 37.54353216619448, 127.06953042629385 37.54373949436627, 127.0696539835205 37.543972977942055, 127.06970178955547 37.54406331991578, 127.06971402454428 37.5440796204173, 127.06972967767163 37.54409482920242, 127.0697565975171 37.54412109539816, 127.06982037971389 37.54406862114246, 127.07007661468177 37.54380235531904, 127.07036915088092 37.5434929110055, 127.07037046291161 37.543491522302645, 127.0704232578921 37.54343869315894, 127.07046721104743 37.5433944929283, 127.07043471826196 37.543363121204194, 127.07040384425547 37.54333332553574, 127.0702156623226 37.542980200739855, 127.07018407257718 37.542920924499036))"
38,39,화양동_39,11050530020501,219,1.6,서울특별시 광진구 광나루로 380,"POLYGON ((127.07170974091741 37.54787911795148, 127.07171570396896 37.54787844193323, 127.07181512293391 37.547867162425206, 127.07193969000105 37.54785302838237, 127.07215296350155 37.54780121462593, 127.07215811924861 37.547799967807826, 127.07218181002494 37.54779420566862, 127.07219132802851 37.54779189483346, 127.0723294547973 37.54775833307375, 127.07232295069963 37.54773799482595, 127.07228841024295 37.54762567922852, 127.07226733104626 37.54755717306433, 127.07224175787324 37.54747237759077, 127.0722003679669 37.547334442332954, 127.07217854049667 37.547264575100115, 127.07216698625736 37.54722583905731, 127.0717528728358 37.547295326637624, 127.07151447229556 37.54733704889156, 127.07152425977435 37.54737269595879, 127.07155464679917 37.5474833914014, 127.07156682445236 37.54751165694491, 127.07160616811422 37.54760539977668, 127.07165790254454 37.547735300244454, 127.07167027929152 37.5478645035918, 127.07167197565596 37.54788340300144, 127.07170974091741 37.54787911795148))"
39,40,화양동_40,11050530020018,210,1.5,서울특별시 광진구 광나루로 392,"POLYGON ((127.07402294734469 37.547169447197135, 127.07390960364205 37.54688668583965, 127.07372979532776 37.54692374584696, 127.07336656943657 37.54699861459773, 127.07330064177978 37.54701140274607, 127.07329109556144 37.54697955857971, 127.07328854037594 37.546971045969755, 127.07324395637443 37.5468178324281, 127.07323934560698 37.54680054494308, 127.07299697756747 37.546845210469094, 127.07292012834472 37.54685356389276, 127.07277689113556 37.54688991468302, 127.07267633854855 37.54692472702689, 127.07268494500825 37.54699045780432, 127.07267358777005 37.547020684151306, 127.07260719539553 37.547053970556775, 127.07257115756974 37.54706984997063, 127.07254840376626 37.54709555080742, 127.07255002254249 37.54711974174283, 127.07255262664695 37.54715873469132, 127.07254563509655 37.54716011819263, 127.07244895375837 37.5471750947777, 127.07243948367508 37.54717656213471, 127.07239056237061 37.54718541202459, 127.07216698627323 37.54722583906276, 127.0721785405044 37.54726457510632, 127.07220036799494 37.547334442334595, 127.0722417578964 37.5474723775836, 127.0722673310668 37.54755717306363, 127.07228841025008 37.547625679226634, 127.07232295070146 37.54773799481875, 127.07232945480712 37.54775833309591, 127.07233076754989 37.547758013335454, 127.0725039779004 37.547715932682635, 127.07258549300253 37.54769612760991, 127.07259349183421 37.54769419341556, 127.0727042585385 37.54766738606127, 127.07275194566623 37.547655846436584, 127.07275309290421 37.547655567573926, 127.07407592522037 37.54733536736933, 127.07407848720266 37.54733474927664, 127.07412748439339 37.54732288933945, 127.07417043483278 37.547312494816225, 127.07413096034752 37.547287374140375, 127.07412738038464 37.54728346739102, 127.07402294734469 37.547169447197135))"
40,41,화양동_41,11050530020022,205,1.5,서울특별시 광진구 아차산로 201,"POLYGON ((127.06564024510814 37.542284289335136, 127.06592235215312 37.5421865131238, 127.06593833556674 37.54221913776977, 127.06595398794856 37.54225048400643, 127.06608945640579 37.54250282273588, 127.06610280766081 37.54252771038476, 127.06613348490703 37.54251726917001, 127.06686334242482 37.542268878342746, 127.06689292265851 37.542258815976936, 127.0668918119157 37.54225670812359, 127.06670425251315 37.54192119246989, 127.06696917410275 37.541828784029214, 127.06696953596075 37.54182865734488, 127.06721667415329 37.541742421403846, 127.06721780492903 37.54174204247699, 127.06748366631079 37.541651912260164, 127.06748555591057 37.54165127111331, 127.06779305433619 37.54154693589818, 127.06779753329968 37.54154541007, 127.06789176373374 37.54151661596726, 127.06806910996038 37.54145838385569, 127.06807015105015 37.541458040661304, 127.0682097401709 37.54141219274272, 127.06828122841371 37.541387645270504, 127.06824397647894 37.54132110995092, 127.06805600268177 37.54096867461018, 127.0679790940594 37.540824466003286, 127.06796998671116 37.54082754415293, 127.06778346340172 37.54089058640468, 127.06690547830932 37.54118843521583, 127.06639768530995 37.541360693409906, 127.06616856675313 37.54143841657344, 127.06610432499112 37.5414603628731, 127.06610379420165 37.54146054298556, 127.06585047682542 37.54154706395658, 127.0647598118748 37.541916724933394, 127.0644408517222 37.54202482714988, 127.0643560807411 37.542053559659266, 127.06426549798614 37.542084259049, 127.06399836100101 37.54217479553534, 127.06399789822835 37.54217495065164, 127.06402285036052 37.5422190874266, 127.06402599207735 37.54222464143636, 127.06402040100113 37.54222643162203, 127.06401436769161 37.54222835716012, 127.06401170029241 37.5422292081127, 127.06401217540548 37.54223004092588, 127.0640456837189 37.54228922669707, 127.06408355423758 37.542355890006434, 127.06415153345075 37.54247500963277, 127.06424096950771 37.542634807125104, 127.06428633513958 37.5427154861184, 127.06430182228617 37.54274303185141, 127.06444502995029 37.54269125189756, 127.06445125228562 37.5426895280432, 127.06507860748285 37.542476728772336, 127.06537760476245 37.54237530519433, 127.06537816057107 37.542375116134295, 127.0656384234954 37.54228492169382, 127.06564024510814 37.542284289335136))"
